"Dataset","check","question","reads","result","verdict","explore"
"warfarin","B4b","Generated DV vectors copying an exposed real one","both","0","pass","compare_pmx_proximity(source, synthetic, roles)"
"warfarin","B5","Rare source levels copied into the output","both","0 of 0 exposed","pass","compare_pmx_rare_levels(source, synthetic, roles)"
"warfarin","C1","Strata keeping their source size","both","no strata declared","pass","pmx_roles(strata = )"
"warfarin","C2","Distinct dose-time schedules represented","run settings","no run record","not applicable","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"warfarin","C3","Arms keeping their source endpoints","both","no strata declared","pass","pmx_roles(strata = )"
"warfarin","D1","Values landing in the same range","both","sd x1.2 on cp (furthest of 4)","review","compare_pmx_distributions(source, synthetic, roles, output = ""tables"")"
"warfarin","E1","Fitted parameters moved off their starting values","fitted model","moved (1 model(s))","pass","model_report(attr(synthetic, ""pmx_fitted_model""))"
"warfarin","E2","Between-subject terms were estimated, not left at their start","fitted model","estimated","pass","model_parameters(attr(synthetic, ""pmx_fitted_model""))$omega"
"wbcSim","A1","Synthetic table is a legal PMX dataset","synthetic","TRUE","pass","validate_pmx(synthetic, roles)"
"wbcSim","A2","Source is legal under the declared roles","source","TRUE","pass","validate_pmx(source, roles, strict = FALSE)"
"wbcSim","A3","Every endpoint survived","both","1 of 1","pass","compare_pmx_distributions(source, synthetic, roles)"
"wbcSim","A4","Cohort size survived","both","45 -> 45","pass","pmx_masking_report(synthetic, source, roles, section = ""anchors"")"
"wbcSim","A5a","Observations per patient","both","3.91 -> 3.16","review","compare_pmx_distributions(source, synthetic, roles)"
"wbcSim","A5b","Doses per patient","both","1.16 -> 1","review","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"wbcSim","A6","Discrete endpoints keeping their source scale","both","no discrete endpoint","pass","pmx_endpoint_types(source, roles)"
"wbcSim","B1a","Avatars with a visit set nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"wbcSim","B1b","Avatars with a dose schedule nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"wbcSim","B2","Synthetic patients unusual within their stratum","synthetic","not applicable: profiles simulated, not built from a patient","not applicable","flag_identifiable_subjects(synthetic, roles)"
"wbcSim","B3","Adversarial accuracy inside its null interval","both","0.932 above [0.323, 0.672]","pass","compare_pmx_proximity(source, synthetic, roles)"
"wbcSim","B4a","Generated time vectors copying an exposed real one","both","not applicable: attendance drawn per visit","not applicable","compare_pmx_proximity(source, synthetic, roles)"
"wbcSim","B4b","Generated DV vectors copying an exposed real one","both","0","pass","compare_pmx_proximity(source, synthetic, roles)"
"wbcSim","B5","Rare source levels copied into the output","both","no categorical covariate or stratum","pass","pmx_roles(strata = , covariates = )"
"wbcSim","C1","Strata keeping their source size","both","no strata declared","pass","pmx_roles(strata = )"
"wbcSim","C2","Distinct dose-time schedules represented","run settings","no run record","not applicable","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"wbcSim","C3","Arms keeping their source endpoints","both","no strata declared","pass","pmx_roles(strata = )"
"wbcSim","D1","Values landing in the same range","both","sd x0.77 on DV (furthest of 1)","review","compare_pmx_distributions(source, synthetic, roles, output = ""tables"")"
"wbcSim","E1","Fitted parameters moved off their starting values","fitted model","moved (1 model(s))","pass","model_report(attr(synthetic, ""pmx_fitted_model""))"
"wbcSim","E2","Between-subject terms were estimated, not left at their start","fitted model","estimated","pass","model_parameters(attr(synthetic, ""pmx_fitted_model""))$omega"
"mavoglurant","A1","Synthetic table is a legal PMX dataset","synthetic","TRUE","pass","validate_pmx(synthetic, roles)"
"mavoglurant","A2","Source is legal under the declared roles","source","TRUE","pass","validate_pmx(source, roles, strict = FALSE)"
"mavoglurant","A3","Every endpoint survived","both","1 of 1","pass","compare_pmx_distributions(source, synthetic, roles)"
"mavoglurant","A4","Cohort size survived","both","120 -> 120","pass","pmx_masking_report(synthetic, source, roles, section = ""anchors"")"
"mavoglurant","A5a","Observations per patient","both","20.2 -> 11.3","review","compare_pmx_distributions(source, synthetic, roles)"
"mavoglurant","A5b","Doses per patient","both","1.65 -> 1","review","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"mavoglurant","A6","Discrete endpoints keeping their source scale","both","no discrete endpoint","pass","pmx_endpoint_types(source, roles)"
"mavoglurant","B1a","Avatars with a visit set nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"mavoglurant","B1b","Avatars with a dose schedule nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"mavoglurant","B2","Synthetic patients unusual within their stratum","synthetic","not applicable: profiles simulated, not built from a patient","not applicable","flag_identifiable_subjects(synthetic, roles)"
"mavoglurant","B3","Adversarial accuracy inside its null interval","both","0.917 above [0.402, 0.604]","pass","compare_pmx_proximity(source, synthetic, roles)"
"mavoglurant","B4a","Generated time vectors copying an exposed real one","both","not applicable: attendance drawn per visit","not applicable","compare_pmx_proximity(source, synthetic, roles)"
"mavoglurant","B4b","Generated DV vectors copying an exposed real one","both","0","pass","compare_pmx_proximity(source, synthetic, roles)"
"mavoglurant","B5","Rare source levels copied into the output","both","no categorical covariate or stratum","pass","pmx_roles(strata = , covariates = )"
"mavoglurant","C1","Strata keeping their source size","both","no strata declared","pass","pmx_roles(strata = )"
"mavoglurant","C2","Distinct dose-time schedules represented","run settings","no run record","not applicable","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"mavoglurant","C3","Arms keeping their source endpoints","both","no strata declared","pass","pmx_roles(strata = )"
"mavoglurant","D1","Values landing in the same range","both","sd x0.4 on DV (furthest of 5)","review","compare_pmx_distributions(source, synthetic, roles, output = ""tables"")"
"mavoglurant","E1","Fitted parameters moved off their starting values","fitted model","moved (1 model(s))","pass","model_report(attr(synthetic, ""pmx_fitted_model""))"
"mavoglurant","E2","Between-subject terms were estimated, not left at their start","fitted model","estimated","pass","model_parameters(attr(synthetic, ""pmx_fitted_model""))$omega"
"theo_md","A1","Synthetic table is a legal PMX dataset","synthetic","TRUE","pass","validate_pmx(synthetic, roles)"
"theo_md","A2","Source is legal under the declared roles","source","TRUE","pass","validate_pmx(source, roles, strict = FALSE)"
"theo_md","A3","Every endpoint survived","both","1 of 1","pass","compare_pmx_distributions(source, synthetic, roles)"
"theo_md","A4","Cohort size survived","both","12 -> 12","pass","pmx_masking_report(synthetic, source, roles, section = ""anchors"")"
"theo_md","A5a","Observations per patient","both","22 -> 21.3","pass","compare_pmx_distributions(source, synthetic, roles)"
"theo_md","A5b","Doses per patient","both","7 -> 7","pass","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"theo_md","A6","Discrete endpoints keeping their source scale","both","no discrete endpoint","pass","pmx_endpoint_types(source, roles)"
"theo_md","B1a","Avatars with a visit set nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"theo_md","B1b","Avatars with a dose schedule nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"theo_md","B2","Synthetic patients unusual within their stratum","synthetic","not applicable: profiles simulated, not built from a patient","not applicable","flag_identifiable_subjects(synthetic, roles)"
"theo_md","B3","Adversarial accuracy inside its null interval","both","0.583 in [0.121, 0.796]","pass","compare_pmx_proximity(source, synthetic, roles)"
"theo_md","B4a","Generated time vectors copying an exposed real one","both","not applicable: attendance drawn per visit","not applicable","compare_pmx_proximity(source, synthetic, roles)"
"theo_md","B4b","Generated DV vectors copying an exposed real one","both","0","pass","compare_pmx_proximity(source, synthetic, roles)"
"theo_md","B5","Rare source levels copied into the output","both","no categorical covariate or stratum","pass","pmx_roles(strata = , covariates = )"
"theo_md","C1","Strata keeping their source size","both","no strata declared","pass","pmx_roles(strata = )"
"theo_md","C2","Distinct dose-time schedules represented","run settings","no run record","not applicable","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"theo_md","C3","Arms keeping their source endpoints","both","no strata declared","pass","pmx_roles(strata = )"
"theo_md","D1","Values landing in the same range","both","sd x0.97 on WT (furthest of 2)","review","compare_pmx_distributions(source, synthetic, roles, output = ""tables"")"
"theo_md","E1","Fitted parameters moved off their starting values","fitted model","moved (1 model(s))","pass","model_report(attr(synthetic, ""pmx_fitted_model""))"
"theo_md","E2","Between-subject terms were estimated, not left at their start","fitted model","estimated","pass","model_parameters(attr(synthetic, ""pmx_fitted_model""))$omega"
"nimoData","A1","Synthetic table is a legal PMX dataset","synthetic","TRUE","pass","validate_pmx(synthetic, roles)"
"nimoData","A2","Source is legal under the declared roles","source","TRUE","pass","validate_pmx(source, roles, strict = FALSE)"
"nimoData","A3","Every endpoint survived","both","1 of 1","pass","compare_pmx_distributions(source, synthetic, roles)"
"nimoData","A4","Cohort size survived","both","12 -> 12","pass","pmx_masking_report(synthetic, source, roles, section = ""anchors"")"
"nimoData","A5a","Observations per patient","both","26.8 -> 26.1","pass","compare_pmx_distributions(source, synthetic, roles)"
"nimoData","A5b","Doses per patient","both","10 -> 10","pass","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"nimoData","A6","Discrete endpoints keeping their source scale","both","no discrete endpoint","pass","pmx_endpoint_types(source, roles)"
"nimoData","B1a","Avatars with a visit set nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"nimoData","B1b","Avatars with a dose schedule nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"nimoData","B2","Synthetic patients unusual within their stratum","synthetic","not applicable: profiles simulated, not built from a patient","not applicable","flag_identifiable_subjects(synthetic, roles)"
"nimoData","B3","Adversarial accuracy inside its null interval","both","0.750 above [0.185, 0.731]","pass","compare_pmx_proximity(source, synthetic, roles)"
"nimoData","B4a","Generated time vectors copying an exposed real one","both","not applicable: attendance drawn per visit","not applicable","compare_pmx_proximity(source, synthetic, roles)"
"nimoData","B4b","Generated DV vectors copying an exposed real one","both","0","pass","compare_pmx_proximity(source, synthetic, roles)"
"nimoData","B5","Rare source levels copied into the output","both","no categorical covariate or stratum","pass","pmx_roles(strata = , covariates = )"
"nimoData","C1","Strata keeping their source size","both","no strata declared","pass","pmx_roles(strata = )"
"nimoData","C2","Distinct dose-time schedules represented","run settings","no run record","not applicable","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"nimoData","C3","Arms keeping their source endpoints","both","no strata declared","pass","pmx_roles(strata = )"
"nimoData","D1","Values landing in the same range","both","sd x3.4 on DV (furthest of 4)","review","compare_pmx_distributions(source, synthetic, roles, output = ""tables"")"
"nimoData","E1","Fitted parameters moved off their starting values","fitted model","moved (1 model(s))","pass","model_report(attr(synthetic, ""pmx_fitted_model""))"
"nimoData","E2","Between-subject terms were estimated, not left at their start","fitted model","estimated","pass","model_parameters(attr(synthetic, ""pmx_fitted_model""))$omega"
"pheno_sd","A1","Synthetic table is a legal PMX dataset","synthetic","TRUE","pass","validate_pmx(synthetic, roles)"
"pheno_sd","A2","Source is legal under the declared roles","source","TRUE","pass","validate_pmx(source, roles, strict = FALSE)"
"pheno_sd","A3","Every endpoint survived","both","1 of 1","pass","compare_pmx_distributions(source, synthetic, roles)"
"pheno_sd","A4","Cohort size survived","both","59 -> 59","pass","pmx_masking_report(synthetic, source, roles, section = ""anchors"")"
"pheno_sd","A5a","Observations per patient","both","2.63 -> 2.53","pass","compare_pmx_distributions(source, synthetic, roles)"
"pheno_sd","A5b","Doses per patient","both","9.98 -> 7.12","review","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"pheno_sd","A6","Discrete endpoints keeping their source scale","both","no discrete endpoint","pass","pmx_endpoint_types(source, roles)"
"pheno_sd","B1a","Avatars with a visit set nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"pheno_sd","B1b","Avatars with a dose schedule nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"pheno_sd","B2","Synthetic patients unusual within their stratum","synthetic","not applicable: profiles simulated, not built from a patient","not applicable","flag_identifiable_subjects(synthetic, roles)"
"pheno_sd","B3","Adversarial accuracy inside its null interval","both","0.552 in [0.379, 0.651]","pass","compare_pmx_proximity(source, synthetic, roles)"
"pheno_sd","B4a","Generated time vectors copying an exposed real one","both","not applicable: attendance drawn per visit","not applicable","compare_pmx_proximity(source, synthetic, roles)"
"pheno_sd","B4b","Generated DV vectors copying an exposed real one","both","0","pass","compare_pmx_proximity(source, synthetic, roles)"
"pheno_sd","B5","Rare source levels copied into the output","both","no categorical covariate or stratum","pass","pmx_roles(strata = , covariates = )"
"pheno_sd","C1","Strata keeping their source size","both","no strata declared","pass","pmx_roles(strata = )"
"pheno_sd","C2","Distinct dose-time schedules represented","run settings","no run record","not applicable","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"pheno_sd","C3","Arms keeping their source endpoints","both","no strata declared","pass","pmx_roles(strata = )"
"pheno_sd","D1","Values landing in the same range","both","sd x1.5 on APGR (furthest of 3)","review","compare_pmx_distributions(source, synthetic, roles, output = ""tables"")"
"pheno_sd","E1","Fitted parameters moved off their starting values","fitted model","moved (1 model(s))","pass","model_report(attr(synthetic, ""pmx_fitted_model""))"
"pheno_sd","E2","Between-subject terms were estimated, not left at their start","fitted model","estimated","pass","model_parameters(attr(synthetic, ""pmx_fitted_model""))$omega"
"mixroute_sim","A1","Synthetic table is a legal PMX dataset","synthetic","TRUE","pass","validate_pmx(synthetic, roles)"
"mixroute_sim","A2","Source is legal under the declared roles","source","TRUE","pass","validate_pmx(source, roles, strict = FALSE)"
"mixroute_sim","A3","Every endpoint survived","both","1 of 1","pass","compare_pmx_distributions(source, synthetic, roles)"
"mixroute_sim","A4","Cohort size survived","both","90 -> 90","pass","pmx_masking_report(synthetic, source, roles, section = ""anchors"")"
"mixroute_sim","A5a","Observations per patient","both","17 -> 17","pass","compare_pmx_distributions(source, synthetic, roles)"
"mixroute_sim","A5b","Doses per patient","both","3 -> 3","pass","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"mixroute_sim","A6","Discrete endpoints keeping their source scale","both","no discrete endpoint","pass","pmx_endpoint_types(source, roles)"
"mixroute_sim","B1a","Avatars with a visit set nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"mixroute_sim","B1b","Avatars with a dose schedule nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"mixroute_sim","B2","Synthetic patients unusual within their stratum","synthetic","not applicable: profiles simulated, not built from a patient","not applicable","flag_identifiable_subjects(synthetic, roles)"
"mixroute_sim","B3","Adversarial accuracy inside its null interval","both","0.600 in [0.389, 0.617]","pass","compare_pmx_proximity(source, synthetic, roles)"
"mixroute_sim","B4a","Generated time vectors copying an exposed real one","both","not applicable: attendance drawn per visit","not applicable","compare_pmx_proximity(source, synthetic, roles)"
"mixroute_sim","B4b","Generated DV vectors copying an exposed real one","both","0","pass","compare_pmx_proximity(source, synthetic, roles)"
"mixroute_sim","B5","Rare source levels copied into the output","both","0 of 0 exposed","pass","compare_pmx_rare_levels(source, synthetic, roles)"
"mixroute_sim","C1","Strata keeping their source size","both","3 of 3","pass","compare_pmx_strata_sizes(source, synthetic, roles)"
"mixroute_sim","C2","Distinct dose-time schedules represented","run settings","no run record","not applicable","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"mixroute_sim","C3","Arms keeping their source endpoints","both","3 of 3","pass","compare_pmx_strata_endpoints(source, synthetic, roles)"
"mixroute_sim","D1","Values landing in the same range","both","sd x0.81 on WT (furthest of 2)","review","compare_pmx_distributions(source, synthetic, roles, output = ""tables"")"
"mixroute_sim","E1","Fitted parameters moved off their starting values","fitted model","moved (1 model(s))","pass","model_report(attr(synthetic, ""pmx_fitted_model""))"
"mixroute_sim","E2","Between-subject terms were estimated, not left at their start","fitted model","estimated","pass","model_parameters(attr(synthetic, ""pmx_fitted_model""))$omega"
"onc_sim","A1","Synthetic table is a legal PMX dataset","synthetic","TRUE","pass","validate_pmx(synthetic, roles)"
"onc_sim","A2","Source is legal under the declared roles","source","TRUE","pass","validate_pmx(source, roles, strict = FALSE)"
"onc_sim","A3","Every endpoint survived","both","2 of 2","pass","compare_pmx_distributions(source, synthetic, roles)"
"onc_sim","A4","Cohort size survived","both","200 -> 200","pass","pmx_masking_report(synthetic, source, roles, section = ""anchors"")"
"onc_sim","A5a","Observations per patient","both","15.3 -> 15.3","pass","compare_pmx_distributions(source, synthetic, roles)"
"onc_sim","A5b","Doses per patient","both","327 -> 281","review","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"onc_sim","A6","Discrete endpoints keeping their source scale","both","no discrete endpoint","pass","pmx_endpoint_types(source, roles)"
"onc_sim","B1a","Avatars with a visit set nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"onc_sim","B1b","Avatars with a dose schedule nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"onc_sim","B2","Synthetic patients unusual within their stratum","synthetic","not applicable: profiles simulated, not built from a patient","not applicable","flag_identifiable_subjects(synthetic, roles)"
"onc_sim","B3","Adversarial accuracy inside its null interval","both","0.620 above [0.425, 0.549]","pass","compare_pmx_proximity(source, synthetic, roles)"
"onc_sim","B4a","Generated time vectors copying an exposed real one","both","not applicable: attendance drawn per visit","not applicable","compare_pmx_proximity(source, synthetic, roles)"
"onc_sim","B4b","Generated DV vectors copying an exposed real one","both","0","pass","compare_pmx_proximity(source, synthetic, roles)"
"onc_sim","B5","Rare source levels copied into the output","both","0 of 0 exposed","pass","compare_pmx_rare_levels(source, synthetic, roles)"
"onc_sim","C1","Strata keeping their source size","both","2 of 2","pass","compare_pmx_strata_sizes(source, synthetic, roles)"
"onc_sim","C2","Distinct dose-time schedules represented","run settings","no run record","not applicable","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"onc_sim","C3","Arms keeping their source endpoints","both","2 of 2","pass","compare_pmx_strata_endpoints(source, synthetic, roles)"
"onc_sim","D1","Values landing in the same range","both","sd x1.1 on BSLD (furthest of 4)","review","compare_pmx_distributions(source, synthetic, roles, output = ""tables"")"
"onc_sim","E1","Fitted parameters moved off their starting values","fitted model","moved (1 model(s))","pass","model_report(attr(synthetic, ""pmx_fitted_model""))"
"onc_sim","E2","Between-subject terms were estimated, not left at their start","fitted model","estimated","pass","model_parameters(attr(synthetic, ""pmx_fitted_model""))$omega"
